id,nextId,name,homework,midterm,finalexam
7
3,3,dhaval-2,87,91,89
4,4,dhaval-3,76,82,100
5,5,dhaval-4,84,95,78
6,6,dhaval-5,89,84,96
7,7,dhaval-6,89,91,94
8,8,dhaval-7,99,75,93
9,9,dhaval-8,92,78,81
10,10,dhaval-9,78,90,87
11,11,dhaval-10,76,75,89
12,12,dhaval-11,76,92,96
13,13,dhaval-12,88,97,82
14,14,dhaval-13,100,76,97
15,15,dhaval-14,75,99,76
16,16,dhaval-15,86,82,79
17,17,dhaval-16,96,75,99
18,18,dhaval-17,94,80,97
19,19,dhaval-18,94,100,87
20,20,dhaval-19,82,79,87
21,21,dhaval-20,93,92,99
22,22,dhaval-21,96,83,78
23,23,dhaval-22,89,92,76
24,24,dhaval-23,98,81,86
25,25,dhaval-24,76,75,98
26,26,dhaval-25,80,96,75
27,27,dhaval-26,88,80,78
28,28,dhaval-27,81,95,76
29,29,dhaval-28,78,82,91
30,30,dhaval-29,77,100,89
31,31,dhaval-30,88,79,80
32,32,dhaval-31,81,75,77
33,33,dhaval-32,77,85,75
34,34,dhaval-33,100,93,84
35,35,dhaval-34,80,93,86
36,36,dhaval-35,89,97,93
37,37,dhaval-36,85,82,80
38,38,dhaval-37,91,81,84
39,39,dhaval-38,77,78,89
40,40,dhaval-39,100,95,98
41,41,dhaval-40,88,92,96
42,42,dhaval-41,76,88,98
43,43,dhaval-42,82,99,79
44,44,dhaval-43,92,97,90
45,45,dhaval-44,85,99,87
46,46,dhaval-45,98,95,79
47,47,dhaval-46,96,88,92
48,48,dhaval-47,96,77,79
49,49,dhaval-48,80,96,91
50,50,dhaval-49,95,88,77
51,51,dhaval-50,96,86,83
52,52,dhaval-51,88,90,90
53,53,dhaval-52,92,96,91
54,54,dhaval-53,88,79,91
55,55,dhaval-54,100,87,95
56,56,dhaval-55,77,100,96
57,57,dhaval-56,78,85,77
58,58,dhaval-57,77,75,82
59,59,dhaval-58,94,88,79
60,60,dhaval-59,95,85,90
61,61,dhaval-60,81,91,91
62,62,dhaval-61,86,91,78
63,63,dhaval-62,84,83,78
64,64,dhaval-63,78,85,76
65,65,dhaval-64,99,79,86
66,66,dhaval-65,95,93,75
67,67,dhaval-66,80,82,88
68,68,dhaval-67,90,90,88
69,69,dhaval-68,95,81,87
70,70,dhaval-69,98,88,80
71,71,dhaval-70,100,78,99
72,72,dhaval-71,91,79,94
73,73,dhaval-72,87,84,79
74,74,dhaval-73,92,82,99
75,75,dhaval-74,86,83,79
76,76,dhaval-75,83,93,82
77,77,dhaval-76,77,88,87
78,78,dhaval-77,94,90,99
79,79,dhaval-78,89,92,79
80,80,dhaval-79,88,97,86
81,81,dhaval-80,92,88,94
82,82,dhaval-81,78,97,99
83,83,dhaval-82,93,83,90
84,84,dhaval-83,75,82,82
85,85,dhaval-84,94,82,86
86,86,dhaval-85,79,80,77
87,87,dhaval-86,75,75,80
88,88,dhaval-87,80,82,81
89,89,dhaval-88,85,81,78
90,90,dhaval-89,76,98,92
91,91,dhaval-90,75,86,95
92,92,dhaval-91,92,90,81
93,93,dhaval-92,91,87,87
94,94,dhaval-93,84,83,98
95,95,dhaval-94,80,84,80
96,96,dhaval-95,93,86,75
97,97,dhaval-96,79,90,92
98,98,dhaval-97,85,92,93
99,99,dhaval-98,81,91,80
100,100,dhaval-99,82,77,75
101,101,dhaval-100,86,76,88
102,102,dhaval-101,85,77,100
103,103,dhaval-102,82,98,93
104,104,dhaval-103,86,81,96
105,105,dhaval-104,94,93,75
106,106,dhaval-105,84,85,85
107,107,dhaval-106,83,83,85
108,108,dhaval-107,78,94,98
109,109,dhaval-108,75,76,83
110,110,dhaval-109,97,89,97
111,111,dhaval-110,91,92,88
112,112,dhaval-111,96,96,82
113,113,dhaval-112,93,82,93
114,114,dhaval-113,88,80,83
115,115,dhaval-114,80,77,91
116,116,dhaval-115,80,81,78
117,117,dhaval-116,87,98,95
118,118,dhaval-117,94,88,81
119,119,dhaval-118,95,78,92
120,120,dhaval-119,83,90,77
121,121,dhaval-120,85,77,90
122,122,dhaval-121,86,82,77
123,123,dhaval-122,77,99,89
124,124,dhaval-123,79,80,91
125,125,dhaval-124,87,95,85
126,126,dhaval-125,78,92,85
127,127,dhaval-126,99,77,97
128,128,dhaval-127,81,83,97
129,129,dhaval-128,75,81,81
130,130,dhaval-129,94,91,95
131,131,dhaval-130,86,75,98
132,132,dhaval-131,80,76,93
133,133,dhaval-132,77,87,80
134,134,dhaval-133,75,84,87
135,135,dhaval-134,100,76,90
136,136,dhaval-135,98,79,86
137,137,dhaval-136,79,75,77
138,138,dhaval-137,98,85,85
139,139,dhaval-138,85,76,98
140,140,dhaval-139,94,100,82
141,141,dhaval-140,95,79,100
142,142,dhaval-141,87,93,92
143,143,dhaval-142,89,81,94
144,144,dhaval-143,87,79,93
145,145,dhaval-144,76,80,99
146,146,dhaval-145,96,84,99
147,147,dhaval-146,83,75,90
148,148,dhaval-147,88,84,92
149,149,dhaval-148,94,83,81
150,150,dhaval-149,84,96,81
